Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assist,crossRiusciti,crossRiusciti_PERC,traversoni,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,falliFatti,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,tiriInPorta,tiriInPorta_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,interventoNegativo,inFuorigioco,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,uscite,lanciPositivi,lanciPositivi_PERC,interventoPositivo
20250,JOAKIM,MAEHLE,MAEHLE J.,20-05-1997,132028,96,41,6,14.63%,33,80.49%,29,,,1,3,4,3,5,1,20.00%,,,,11,5,45.45%,,,5,100.00%,3,27.27%,1,33.33%,8,72.73%,4,50.00%,0.000,0.000,1.216,0.085,1.216,0.000,0.000,0.000,322,,,,,,1,1,16.67%,,,,,1,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9960,YUSSUF,POULSEN,POULSEN Y.,15-06-1994,132028,7,2,,,1,50.00%,4,,,,,,3,,,,2,2,100.00%,6,1,16.67%,1,100.00%,4,400.00%,3,50.00%,1,33.33%,1,16.67%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,322,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7580,KASPER,SCHMEICHEL,SCHMEICHEL K.,05-11-1986,132028,96,32,2,6.25%,28,87.50%,24,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100.00%,1,23,23,100.00%,8,1,12.50%,3,37.50%,1,100.00%,4,50.00%,0.362,0.362,,,,,,,,
20254,ANDREAS,SKOV OLSEN,SKOV OLSEN A.,29-12-1999,132028,50,17,1,5.88%,12,70.59%,21,1,4.76%,,1,1,8,1,,,1,1,100.00%,7,1,14.29%,1,100.00%,5,500.00%,3,42.86%,,,,,,,0.067,0.000,0.202,0.000,0.268,-0.067,0.067,0.000,322,1,1,100.00%,,,,,,3,14.29%,,,,,,,3,37.50%,3,1,33.33%,,,,2,25.00%,,,,,1,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10793,JANNIK,VESTERGAARD,VESTERGAARD J.,03-08-1992,132028,96,68,,,64,94.12%,50,1,2.00%,5,,,2,12,1,8.33%,1,,,21,16,76.19%,2,12.50%,2,12.50%,10,47.62%,8,80.00%,7,33.33%,6,85.71%,0.127,0.072,0.000,0.000,-0.101,-0.056,0.127,0.000,322,1,1,100.00%,1,100.00%,3,,,1,2.00%,1,100.00%,,,,,,,,,,1,4.76%,1,,,,,,,2,,,,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18562,JONAS,WIND,WIND J.,07-02-1999,132028,46,25,1,4.00%,21,84.00%,28,2,7.14%,1,,,5,2,1,50.00%,,,,8,2,25.00%,2,100.00%,3,150.00%,2,25.00%,1,50.00%,4,50.00%,1,25.00%,0.200,0.000,0.237,0.000,0.437,-0.200,0.200,0.000,322,1,1,100.00%,,,,,,4,14.29%,,,,,,,1,20.00%,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373,NEMANJA,GUDELJ,GUDELJ N.,16-11-1991,132028,46,28,,,27,96.43%,24,,,1,,,1,2,,,1,,,5,4,80.00%,,,,,,,,,3,60.00%,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,2,,,,,,,,,,,,,,,,1,20.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23948,IVAN,ILIC,ILIC I.,17-03-2001,132028,68,36,,,35,97.22%,26,,,1,,,1,9,4,44.44%,,,,4,4,100.00%,1,25.00%,,,1,25.00%,1,100.00%,2,50.00%,2,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,3,,,,,,,,,,,1,100.00%,,,,1,25.00%,1,2,200.00%,,,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9803,LUKA,JOVIC,JOVIC L.,23-12-1997,132028,50,11,,,8,72.73%,15,2,13.33%,1,,,8,1,,,,,,13,8,61.54%,2,25.00%,3,37.50%,2,15.38%,1,50.00%,9,69.23%,6,66.67%,0.000,0.000,0.000,0.000,-0.258,0.000,0.000,0.000,467,,,,,,,,,1,6.67%,1,100.00%,,,,,4,50.00%,,,,1,7.69%,1,2,25.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
11563,SASA,LUKIC,LUKIC S.,13-08-1996,132028,88,54,1,1.85%,52,96.30%,53,,,6,,,5,5,3,60.00%,,,,13,4,30.77%,1,25.00%,6,150.00%,7,53.85%,2,28.57%,5,38.46%,2,40.00%,0.000,0.000,0.133,0.000,0.133,0.000,0.000,0.000,467,,,,,,3,1,100.00%,2,3.77%,,,,,,,3,60.00%,,,,,,,4,80.00%,,,1,20.00%,1,1,,,1,100.00%,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,,,,
37115,SRDJAN,MIJAILOVIC,MIJAILOVIC S.,10-11-1993,132028,74,27,4,14.81%,19,70.37%,19,,,3,3,3,8,5,,,,,,6,3,50.00%,,,3,100.00%,2,33.33%,1,50.00%,4,66.67%,2,50.00%,0.000,0.000,0.747,0.000,0.747,0.000,0.000,0.000,467,,,,,,,2,50.00%,1,5.26%,,,,1,33.33%,,2,25.00%,,,,,,,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,
14076,NIKOLA,MILENKOVIC,MILENKOVIC N.,12-10-1997,132028,96,75,1,1.33%,72,96.00%,59,1,1.69%,5,,,1,14,1,7.14%,,,,15,12,80.00%,,,,,2,13.33%,2,100.00%,10,66.67%,8,80.00%,0.000,0.000,0.448,0.000,0.177,0.000,0.000,0.000,467,,,,,,1,,,,,,,,,,,,,,,,2,13.33%,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8627,SERGEJ,MILINKOVIC-SAVIC,MILINKOVIC-SAVIC S.,27-02-1995,132028,9,8,1,12.50%,7,87.50%,8,,,,1,1,,,,,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,0.136,0.362,0.145,0.063,0.129,0.226,0.136,0.000,467,1,,,,,1,1,100.00%,1,12.50%,,,1,1,100.00%,,,,,,,,,,,,1,100.00%,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7569,ALEKSANDAR,MITROVIC,MITROVIC A.,16-09-1994,132028,96,16,3,18.75%,13,81.25%,40,4,10.00%,10,,,23,4,,,1,1,100.00%,41,12,29.27%,8,66.67%,18,150.00%,25,60.98%,9,36.00%,10,24.39%,,,0.084,0.000,1.042,0.000,0.345,-0.084,0.084,0.000,467,1,1,100.00%,,,,2,66.67%,6,15.00%,,,,,,,8,34.78%,2,1,50.00%,2,4.88%,2,4,17.39%,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,7,70.00%,,,,
8087,FILIP,MLADENOVIC,MLADENOVIC F.,15-08-1991,132028,22,6,1,16.67%,6,100.00%,5,1,20.00%,,,,,,,,,,,2,1,50.00%,1,100.00%,1,100.00%,,,,,2,100.00%,1,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22425,STRAHINJA,PAVLOVIC,PAVLOVIC S.,24-05-2001,132028,96,64,4,6.25%,50,78.13%,54,2,3.70%,1,3,3,9,9,2,22.22%,3,1,33.33%,17,14,82.35%,5,35.71%,2,14.29%,5,29.41%,3,60.00%,4,23.53%,4,100.00%,0.000,0.000,0.181,0.000,-0.015,0.000,0.000,0.000,467,,,,,,1,2,50.00%,,,,,,,,,2,22.22%,3,3,100.00%,2,11.76%,2,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11893,PREDRAG,RAJKOVIC,RAJKOVIC P.,31-10-1995,132028,96,49,,,45,91.84%,32,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,100.00%,16,18,18,100.00%,15,5,33.33%,4,26.67%,3,100.00%,6,40.00%,0.906,0.906,,,,,1,14,87.50%,
26642,LAZAR,SAMARDZIC,SAMARDZIC L.,24-02-2002,132028,46,10,,,10,100.00%,12,1,8.33%,,,,2,,,,,,,4,1,25.00%,,,2,200.00%,,,,,3,75.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,1,,,1,8.33%,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7570,DUSAN,TADIC,TADIC D.,20-11-1988,132028,50,31,8,25.81%,26,83.87%,28,1,3.57%,,3,3,3,3,1,33.33%,,,,7,5,71.43%,2,40.00%,2,40.00%,1,14.29%,,,5,71.43%,4,80.00%,0.000,0.000,1.601,0.051,1.391,0.000,0.000,0.000,467,,,,,,1,5,62.50%,,,,,1,1,33.33%,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12262,MILOS,VELJKOVIC,VELJKOVIC M.,26-09-1995,132028,96,68,1,1.47%,62,91.18%,57,,,2,,,5,7,,,,,,11,7,63.64%,,,3,42.86%,7,63.64%,4,57.14%,3,27.27%,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,,,,1,1,100.00%,,,,,,,,,1,20.00%,,,,1,9.09%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16827,DUSAN,VLAHOVIC,VLAHOVIC D.,28-01-2000,132028,28,11,2,18.18%,7,63.64%,9,3,33.33%,1,,,2,2,1,50.00%,,,,9,6,66.67%,5,83.33%,3,50.00%,3,33.33%,2,66.67%,5,55.56%,4,80.00%,0.097,0.000,0.423,0.000,-0.293,-0.097,0.097,0.000,467,1,1,100.00%,1,100.00%,,1,50.00%,1,11.11%,1,100.00%,,,,,1,50.00%,,,,,,,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,
13365,ANDRIJA,ZIVKOVIC,ZIVKOVIC A.,11-07-1996,132028,96,42,1,2.38%,33,78.57%,31,1,3.23%,1,1,2,10,4,,,2,2,100.00%,12,2,16.67%,,,7,350.00%,2,16.67%,,,6,50.00%,2,33.33%,0.000,0.000,0.197,0.000,0.197,0.000,0.000,0.000,467,,,,,,,,,1,3.23%,,,,,,,2,20.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
